Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Credit_History,Loan_Status,EMI,Property_Area_Semiurban,Property_Area_Urban
1,1,0,4583,1508.0,1,0,355.56,0,0
0,1,1,3000,0.0,1,1,183.33,0,1
0,0,0,2583,2358.0,1,1,333.33,0,1
0,1,0,6000,0.0,1,1,391.67,0,1
2,1,1,5417,4196.0,1,1,741.67,0,1
0,0,0,2333,1516.0,1,1,263.89,0,1
3,1,0,3036,2504.0,0,0,438.89,1,0
2,1,0,4006,1526.0,1,1,466.67,0,1
1,1,0,12841,10968.0,1,0,969.44,1,0
2,1,0,3200,700.0,1,1,194.44,0,1
2,1,0,3073,8106.0,1,1,555.56,0,1
0,1,0,1853,2840.0,1,0,316.67,0,0
2,1,0,1299,1086.0,1,1,141.67,0,1
0,1,0,4950,0.0,1,1,347.22,0,1
0,1,0,3510,0.0,0,0,211.11,0,1
0,0,0,4887,0.0,1,0,369.44,0,0
0,0,0,7660,0.0,0,0,288.89,0,1
1,1,0,5955,5625.0,1,1,875.0,0,1
0,0,0,2600,1911.0,0,0,322.22,1,0
0,1,1,9560,0.0,1,1,530.56,1,0
0,1,0,2799,2253.0,1,1,338.89,1,0
2,0,0,4226,1040.0,1,1,305.56,0,1
0,0,0,1442,0.0,1,0,97.22,0,1
0,1,0,3167,0.0,1,0,205.56,0,1
1,1,1,4692,0.0,1,0,294.44,0,0
0,1,0,3500,1667.0,1,1,316.67,1,0
3,1,0,12500,3000.0,1,0,888.89,0,0
0,1,0,3667,1459.0,1,1,400.0,1,0
0,1,0,4166,7210.0,1,1,511.11,0,1
0,0,0,3748,1668.0,1,1,305.56,1,0
0,1,0,3600,0.0,1,0,222.22,0,1
0,1,0,1800,1213.0,1,1,130.56,0,1
0,1,0,3941,2336.0,1,1,372.22,1,0
1,1,0,5649,0.0,1,1,122.22,0,1
0,1,0,5821,0.0,1,1,400.0,0,1
0,1,0,2645,3440.0,0,0,333.33,0,1
0,1,0,4000,2275.0,1,1,400.0,1,0
0,0,0,1928,1644.0,1,1,277.78,1,0
0,1,0,3086,0.0,1,1,333.33,1,0
0,1,0,4230,0.0,1,0,311.11,1,0
2,1,0,4616,0.0,1,0,372.22,0,1
1,1,1,11500,0.0,0,0,794.44,0,1
2,1,0,2708,1167.0,1,1,269.44,1,0
0,1,0,2132,1591.0,1,1,266.67,1,0
0,1,0,3366,2200.0,1,0,375.0,0,0
1,1,0,8080,2250.0,1,1,500.0,0,1
2,0,0,3357,2859.0,1,1,400.0,0,1
0,1,0,2500,3796.0,1,1,333.33,0,1
3,1,0,3029,0.0,1,1,275.0,0,1
0,0,1,2609,3449.0,0,0,916.67,0,0
0,1,0,4166,0.0,0,0,322.22,1,0
0,1,0,5726,4595.0,1,0,716.67,1,0
0,0,0,3200,2254.0,0,0,700.0,0,1
1,1,0,10750,0.0,1,1,866.67,0,1
3,0,1,7100,0.0,1,1,2083.33,0,1
0,1,0,4300,0.0,0,0,377.78,1,0
0,1,0,3208,3066.0,1,1,477.78,0,1
2,0,1,1875,1875.0,1,1,269.44,1,0
0,1,0,3500,0.0,1,1,270.0,1,0
3,1,1,5266,1774.0,1,1,519.44,1,0
0,1,0,3750,0.0,1,0,235.42,0,1
0,1,0,3750,4750.0,1,0,488.89,0,1
1,1,1,1000,3022.0,1,0,305.56,0,1
3,1,0,3167,4000.0,0,0,600.0,1,0
0,1,0,3846,0.0,1,1,308.33,1,0
2,1,0,1378,1881.0,1,0,463.89,0,1
1,1,0,3988,0.0,1,1,208.33,0,1
0,1,0,2366,2531.0,1,1,377.78,1,0
